"Statistics from 01/09/2025 until 31/08/2026"
""
"Reservation status: Confirmed, Option (non-expired)"
"Board(s): any"
"Reservation tag(s): any"
""
"Room type(s): any"
"Room tag(s): any"
""
"Sales channel(s): any"
"Agencies: any"
"Corporates: any"
""
"Month";"Daily arrivals";"Sold occupancy";"Available occupancy";"Occupancy rate (%)";"Average room occupancy";"Average length of stay";"RevPOB (ILS)";"RevPAB (ILS)";"N. unique guests"
"September 2025";"400";"503";"1560";"32.24";"1.85";"1.26";"224.53";"72.40";"192"
"October 2025";"451";"606";"1612";"37.59";"2.01";"1.34";"222.45";"83.63";"193"
"November 2025";"423";"522";"1560";"33.46";"1.78";"1.23";"219.52";"73.46";"225"
"December 2025";"571";"752";"1612";"46.65";"2.01";"1.32";"232.17";"108.31";"256"
"January 2026";"351";"446";"1612";"27.67";"1.8";"1.27";"218.18";"60.37";"187"
"February 2026";"385";"538";"1456";"36.95";"1.81";"1.4";"218.64";"80.79";"194"
"March 2026";"82";"125";"1612";"7.75";"1.69";"1.52";"247.08";"19.16";"45"
"April 2026";"193";"226";"1560";"14.49";"1.75";"1.17";"234.58";"33.98";"94"
"May 2026";"350";"527";"1612";"32.69";"1.75";"1.51";"248.65";"81.29";"173"
"June 2026";"377";"562";"1560";"36.03";"1.73";"1.49";"256.88";"92.54";"192"
"July 2026";"481";"624";"1612";"38.71";"1.84";"1.3";"237.96";"92.11";"233"
"August 2026";"609";"854";"1608";"53.11";"2.07";"1.4";"222.67";"118.26";"279"
"";"";"";"";"";"";"";"";"";""
"Total";"Daily arrivals";"Sold occupancy";"Available occupancy";"Occupancy rate (%)";"Average room occupancy";"Average length of stay";"RevPOB (ILS)";"RevPAB (ILS)";"N. unique guests"
"Sep 2025/Aug 2026";"4673";"6285";"18976";"33.12";"1.87";"1.34";"230.68";"76.40";"2114"
