"Statistics from 01/09/2025 until 31/08/2026"
""
"Reservation status: Confirmed, Option (non-expired)"
"Board(s): any"
"Reservation tag(s): any"
""
"Room type(s): any"
"Room tag(s): any"
""
"Sales channel(s): any"
"Agencies: any"
"Corporates: any"
""
"Month";"Total reservations";"Confirmed reservations";"Option reservations";"Offer reservations";"No-show reservations";"Cancelled reservations";"No-show rate (%)";"Cancellation rate (%)";"Booking window (days)"
"September 2025";"242";"198";"0";"0";"3";"41";"1.24";"16.94";"11.59"
"October 2025";"254";"194";"0";"0";"0";"60";"0";"23.62";"13.66"
"November 2025";"240";"207";"0";"0";"0";"33";"0";"13.75";"6.86"
"December 2025";"322";"252";"0";"0";"2";"68";"0.62";"21.12";"20.65"
"January 2026";"232";"189";"0";"0";"0";"43";"0";"18.53";"9.02"
"February 2026";"248";"203";"0";"0";"1";"44";"0.4";"17.74";"6.12"
"March 2026";"117";"50";"0";"0";"0";"67";"0";"57.26";"26.41"
"April 2026";"132";"106";"0";"0";"0";"26";"0";"19.7";"15.44"
"May 2026";"225";"172";"0";"0";"1";"52";"0.44";"23.11";"12.4"
"June 2026";"221";"181";"0";"0";"1";"39";"0.45";"17.65";"7.16"
"July 2026";"285";"230";"0";"0";"1";"54";"0.35";"18.95";"12.22"
"August 2026";"359";"267";"0";"0";"1";"91";"0.28";"25.35";"11.21"
"";"";"";"";"";"";"";"";"";""
"Total";"Total reservations";"Confirmed reservations";"Option reservations";"Offer reservations";"No-show reservations";"Cancelled reservations";"No-show rate (%)";"Cancellation rate (%)";"Booking window (days)"
"Sep 2025/Aug 2026";"2824";"2223";"0";"0";"9";"592";"0.32";"20.96";"12.23"
